Latitude (decimal degrees):	34.057
Longitude (decimal degrees):	-6.768
Elevation (m):	74
Radiation database:	PVGIS-SARAH3


Slope: 32 deg. (optimum)
Azimuth: 3 deg. (optimum)
Nominal power of the PV system (CIS) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0009,0.0,0.0,0.0,9.11,1.31,0.0
20200101:0109,0.0,0.0,0.0,8.57,1.38,0.0
20200101:0209,0.0,0.0,0.0,7.92,1.38,0.0
20200101:0309,0.0,0.0,0.0,7.3,1.45,0.0
20200101:0409,0.0,0.0,0.0,6.97,1.52,0.0
20200101:0509,0.0,0.0,0.0,7.01,1.66,0.0
20200101:0609,0.0,0.0,0.0,7.16,1.79,0.0
20200101:0709,0.0,0.0,0.0,7.81,1.93,0.0
20200101:0809,145.49,194.79,5.8,8.3,1.79,0.0
20200101:0909,390.38,483.66,15.62,10.58,1.38,0.0
20200101:1009,556.15,696.91,23.84,13.84,1.31,0.0
20200101:1109,667.16,854.91,29.79,16.03,1.45,0.0
20200101:1209,714.6,930.72,32.72,17.42,1.45,0.0
20200101:1309,702.29,915.73,32.18,18.29,1.45,0.0
20200101:1409,645.83,832.39,28.25,18.75,1.59,0.0
20200101:1509,515.11,653.26,21.53,18.71,1.66,0.0
20200101:1609,319.86,409.36,12.75,18.09,1.66,0.0
20200101:1709,17.97,34.41,2.54,16.52,1.79,0.0
20200101:1809,0.0,0.0,0.0,14.69,1.72,0.0
20200101:1909,0.0,0.0,0.0,13.81,1.17,0.0
20200101:2009,0.0,0.0,0.0,13.9,0.28,0.0
20200101:2109,0.0,0.0,0.0,12.2,0.97,0.0
20200101:2209,0.0,0.0,0.0,10.11,1.59,0.0
20200101:2309,0.0,0.0,0.0,9.45,1.66,0.0
20200102:0009,0.0,0.0,0.0,8.78,1.66,0.0
20200102:0109,0.0,0.0,0.0,8.43,1.66,0.0
20200102:0209,0.0,0.0,0.0,8.36,1.59,0.0
20200102:0309,0.0,0.0,0.0,8.12,1.59,0.0
20200102:0409,0.0,0.0,0.0,8.14,1.38,0.0
20200102:0509,0.0,0.0,0.0,7.94,1.31,0.0
20200102:0609,0.0,0.0,0.0,8.15,1.17,0.0
20200102:0709,0.0,0.0,0.0,8.39,1.1,0.0
20200102:0809,108.62,147.77,5.78,8.62,1.24,0.0
20200102:0909,356.63,441.67,15.62,9.8,1.03,0.0
20200102:1009,552.9,691.6,23.86,11.95,0.76,0.0
20200102:1109,662.35,854.64,29.83,14.23,0.41,0.0
20200102:1209,707.22,930.15,32.8,15.96,0.41,0.0
20200102:1309,701.85,918.25,32.28,17.08,0.9,0.0
20200102:1409,643.58,828.17,28.37,17.64,1.31,0.0
20200102:1509,514.73,650.38,21.66,17.64,1.59,0.0
20200102:1609,324.53,412.96,12.88,17.12,1.86,0.0
20200102:1709,23.31,41.81,2.68,15.74,2.0,0.0
20200102:1809,0.0,0.0,0.0,14.2,1.93,0.0
20200102:1909,0.0,0.0,0.0,13.38,1.72,0.0
20200102:2009,0.0,0.0,0.0,12.8,1.52,0.0
20200102:2109,0.0,0.0,0.0,12.14,1.38,0.0
20200102:2209,0.0,0.0,0.0,11.57,1.24,0.0
20200102:2309,0.0,0.0,0.0,11.39,1.17,0.0
20200103:0009,0.0,0.0,0.0,10.99,1.17,0.0
20200103:0109,0.0,0.0,0.0,10.64,1.17,0.0
20200103:0209,0.0,0.0,0.0,9.58,1.38,0.0
20200103:0309,0.0,0.0,0.0,9.75,1.31,0.0
20200103:0409,0.0,0.0,0.0,10.12,1.45,0.0
20200103:0509,0.0,0.0,0.0,10.48,1.52,0.0
20200103:0609,0.0,0.0,0.0,10.43,1.45,0.0
20200103:0709,0.0,0.0,0.0,10.55,1.72,0.0
20200103:0809,83.96,117.53,5.76,10.5,1.52,0.0
20200103:0909,337.87,420.01,15.62,11.25,1.45,0.0
20200103:1009,529.41,657.07,23.89,12.28,1.45,0.0
20200103:1109,673.64,856.0,29.89,14.32,1.59,0.0
20200103:1209,719.2,926.78,32.88,15.85,1.72,0.0
20200103:1309,699.21,901.28,32.39,16.57,1.66,0.0
20200103:1409,617.67,785.35,28.5,17.03,1.79,0.0
20200103:1509,530.15,665.78,21.79,17.04,2.14,0.0
20200103:1609,322.47,407.78,13.02,16.4,2.48,0.0
20200103:1709,14.12,27.37,2.82,15.23,2.34,0.0
20200103:1809,0.0,0.0,0.0,13.71,2.0,0.0
20200103:1909,0.0,0.0,0.0,13.12,1.79,0.0
20200103:2009,0.0,0.0,0.0,12.49,1.72,0.0
20200103:2109,0.0,0.0,0.0,12.07,1.52,0.0
20200103:2209,0.0,0.0,0.0,11.59,1.45,0.0
20200103:2309,0.0,0.0,0.0,10.92,1.45,0.0
20200104:0009,0.0,0.0,0.0,10.23,1.45,0.0
20200104:0109,0.0,0.0,0.0,9.61,1.45,0.0
20200104:0209,0.0,0.0,0.0,8.97,1.52,0.0
20200104:0309,0.0,0.0,0.0,8.72,1.59,0.0
20200104:0409,0.0,0.0,0.0,8.3,1.59,0.0
20200104:0509,0.0,0.0,0.0,8.24,1.59,0.0
20200104:0609,0.0,0.0,0.0,8.56,1.59,0.0
20200104:0709,0.0,0.0,0.0,8.87,2.0,0.0
20200104:0809,149.37,200.62,5.75,8.7,2.0,0.0
20200104:0909,384.29,472.96,15.63,9.58,1.86,0.0
20200104:1009,558.92,691.07,23.92,11.38,1.72,0.0
20200104:1109,671.57,848.89,29.95,13.33,1.66,0.0
20200104:1209,721.1,925.55,32.97,14.62,1.66,0.0
20200104:1309,703.01,899.03,32.5,15.62,2.0,0.0
20200104:1409,638.67,805.72,28.63,15.89,2.34,0.0
20200104:1509,459.53,571.45,21.93,15.74,2.48,0.0
20200104:1609,311.9,393.02,13.16,15.18,2.34,0.0
20200104:1709,33.37,55.1,2.96,14.28,1.79,0.0
20200104:1809,0.0,0.0,0.0,13.07,1.79,0.0
20200104:1909,0.0,0.0,0.0,12.46,1.66,0.0
20200104:2009,0.0,0.0,0.0,11.52,1.59,0.0
20200104:2109,0.0,0.0,0.0,10.51,1.38,0.0
20200104:2209,0.0,0.0,0.0,9.95,1.31,0.0
